BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax
17820,Fervidicoccus fontis,Fervidicoccus,Fervidicoccaceae,Fervidicoccales,Thermoprotei,Crenarchaeota,Archaea,1163730,coccus-shaped,1,3,1,3
163852,Halalkaliarchaeum desulfuricum,Halalkaliarchaeum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2055893,pleomorphic-shaped,1.5,2.5,0.5,0.6
140834,Halanaeroarchaeum sulfurireducens,Halanaeroarchaeum,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,NA,coccus-shaped,1,2,0.5,1.5
133728,Haloarchaeobius iranensis,Haloarchaeobius,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,996166,rod-shaped,3,7,1.5,2
133624,Haloarcula salaria,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575195,rod-shaped,1.5,1.5,0.7,0.7
133623,Haloarcula tradensis,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575194,rod-shaped,1.75,1.75,1,1
141038,Halobacterium litoreum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,NA,rod-shaped,0.8,2,0.4,0.5
134335,Halobacterium salinarum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2242,rod-shaped,1,2,0.5,1
133787,Halobaculum magnesiiphilum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1017351,rod-shaped,0.6,0.6,0.4,0.4
133385,Halobaculum roseum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1891221,pleomorphic-shaped,0.5,0.6,0.3,0.4
166103,Halobellus captivus,Halobellus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2592614,pleomorphic-shaped,1,1.2,0.6,0.8
133561,Halogranum rubrum,Halogranum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,553466,ovoid-shaped,1.5,1.5,1.5,1.5
5875,Halomicrobium katesii,Halomicrobium,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,437163,rod-shaped,2.25,2.8,1.8,2.25
167389,Halomicrococcus hydrotolerans,Halomicrococcus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2304676,coccus-shaped,0.8,1.2,0.8,1.2
166473,Halonotius aquaticus,Halonotius,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2216978,rod-shaped,1.1,4.4,0.5,0.5
5975,Halonotius pteroides,Halonotius,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,268735,rod-shaped,4,4,1.1,1.1
133245,Haloparvum alkalitolerans,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,rod-shaped,0.5,1.2,0.3,0.6
140835,Haloparvum sedimenti,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1678448,pleomorphic-shaped,0.6,0.8,0.3,0.4
133906,Halopelagius fulvigenes,Halopelagius,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1198324,coccus-shaped,1.2,1.2,1.2,1.2
133781,Halopenitus persicus,Halopenitus,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1048396,rod-shaped,7,7,1,1
5974,Halopiger aswanensis,Halopiger,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,148449,rod-shaped,3.75,3.75,0.75,0.75
133244,Halopiger thermotolerans,Halopiger,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,NA,pleomorphic-shaped,1,6,0.5,1
158747,Haloplanus salinarum,Haloplanus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,pleomorphic-shaped,0.6,3.5,0.6,2.3
5882,Halorhabdus tiamatea,Halorhabdus,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1033806,rod-shaped,4.5,4.5,0.75,0.75
166246,Halorientalis pallida,Halorientalis,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1931229,coccus-shaped,1.1,2.8,0.5,0.5
158600,Halorubrum aethiopicum,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,ovoid-shaped,1,1.5,0.4,0.6
5952,Halorubrum aidingense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1230454,rod-shaped,3.6,6.4,0.9,1
5953,Halorubrum californiense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,416585,rod-shaped,1,1.5,0.5,0.5
5947,Halorubrum ezzemoulense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,337243,ovoid-shaped,1.5,3,0.6,0.6
141136,Halorubrum halodurans,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,rod-shaped,5,10,1,4
23052,Halorubrum kocurii,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1230456,rod-shaped,2,5,0.9,1.1
5951,Halorubrum lipolyticum,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,368624,rod-shaped,1.8,5.5,0.9,1.2
140642,Halorubrum pallidum,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1526114,sphere-shaped,1,1.2,0.5,0.8
140565,Halorubrum trueperi,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2004704,pleomorphic-shaped,2.9,4.1,0.5,0.7
163753,Halorussus halophilus,Halorussus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1931997,pleomorphic-shaped,1,6,0.8,1
141118,Halosiccatus urmianus,Halosiccatus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,NA,pleomorphic-shaped,1.1,1.5,0.3,0.7
5970,Halostagnicola kamekurae,Halostagnicola,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,619731,rod-shaped,2,2.5,0.8,1
5969,Halostagnicola larsenii,Halostagnicola,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,797299,rod-shaped,1,3,0.5,1
163855,Halostella limicola,Halostella,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1552988,rod-shaped,1.5,6,0.8,1
141067,Halostella salina,Halostella,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1547897,coccus-shaped,0.7,1.4,0.7,1.4
134201,Haloterrigena limicola,Haloterrigena,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1230457,rod-shaped,1.8,3.6,0.6,0.8
134202,Haloterrigena longa,Haloterrigena,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,370324,rod-shaped,2.8,11,0.5,0.6
133710,Halovenus aranensis,Halovenus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,890420,rod-shaped,7,7,1,1
134166,Halovivax asiaticus,Halovivax,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,332953,rod-shaped,4,5,0.4,0.5
6950,Methanobacterium arcticum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,386456,rod-shaped,4.5,4.5,0.475,0.475
6951,Methanobacterium ferruginis,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,710191,rod-shaped,3,3,0.3,0.3
6952,Methanobacterium petrolearium,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,710190,rod-shaped,3.55,3.55,0.3,0.3
6949,Methanobacterium veterum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,408577,rod-shaped,5,5,0.425,0.425
24156,Methanobrevibacter boviskoreani,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,1214066,rod-shaped,1.65,1.65,0.6,0.6
17668,Methanocella arvoryzae,Methanocella,Methanocellaceae,Methanocellales,Methanomicrobia,Euryarchaeota,Archaea,351160,rod-shaped,1.3,2.8,0.4,0.7
24159,Methanoculleus horonobensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,528314,ovoid-shaped,1.15,1.15,1.15,1.15
132893,Methanoculleus hydrogenitrophicus,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,648796,coccus-shaped,0.8,2,0.8,2
17854,Methanolinea mesophila,Methanolinea,Methanoregulaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,547055,rod-shaped,4.25,4.25,0.3,0.3
17853,Methanolinea tarda,Methanolinea,Methanoregulaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,882090,rod-shaped,2,2,0.85,0.85
132665,Methanomicrobium antiquum,Methanomicrobium,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,487686,rod-shaped,2,2,0.8,0.8
17857,Methanoregula formicica,Methanoregula,Methanoregulaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,593750,rod-shaped,4,4,0.5,0.5
131756,Methanosaeta harundinacea,Methanosaeta,Methanosaetaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,1127228,rod-shaped,3,5,0.8,1
7136,Methanospirillum lacunae,Methanospirillum,Methanospirillaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,668570,rod-shaped,11,25,0.5,0.6
24171,Methanospirillum stamsii,Methanospirillum,Methanospirillaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,1277351,rod-shaped,7,25,0.4,0.5
23082,Methanothermobacter tenebrarum,Methanothermobacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,680118,rod-shaped,7,7,0.5,0.5
132586,Natrarchaeobaculum aegyptiacum,Natrarchaeobaculum,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,745377,rod-shaped,1,2,0.5,0.8
163851,Natrarchaeobaculum sulfurireducens,Natrarchaeobaculum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,2044521,pleomorphic-shaped,1,3.5,0.5,0.6
134340,Natrinema gari,Natrinema,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1230459,rod-shaped,2,3,0.5,0.8
24083,Natronobacterium texcoconense,Natronobacterium,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1095778,ovoid-shaped,8.5,8.5,0.9,0.9
24068,Natronococcus roseus,Natronococcus,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1052014,coccus-shaped,1.5,1.5,1.5,1.5
134191,Natronorubrum aibiense,Natronorubrum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,348826,rod-shaped,1.4,3.6,0.8,1
133563,Natronorubrum sediminis,Natronorubrum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,640943,rod-shaped,4,6,0.8,1
159828,Nitrosarchaeum koreense,Nitrosarchaeum,Nitrosopumilaceae,Nitrosopumilales,Nitrososphaeria,Thaumarchaeota,Archaea,1001994,rod-shaped,0.6,1,0.3,0.5
157948,Nitrosopumilus adriaticus,Nitrosopumilus,Nitrosopumilaceae,Nitrosopumilales,Nitrososphaeria,Thaumarchaeota,Archaea,1580092,rod-shaped,0.59,1.74,0.2,0.25
141102,Nitrosopumilus maritimus,Nitrosopumilus,Nitrosopumilaceae,Nitrosopumilales,Nitrososphaeria,Thaumarchaeota,Archaea,NA,rod-shaped,0.5,0.9,0.17,0.22
158487,Nitrosopumilus piranensis,Nitrosopumilus,Nitrosopumilaceae,Nitrosopumilales,Nitrososphaeria,Thaumarchaeota,Archaea,1582439,rod-shaped,0.49,2,0.2,0.25
23332,Palaeococcus pacificus,Palaeococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea,1343739,coccus-shaped,1.15,1.15,1.15,1.15
132610,Pyrodictium delaneyi,Pyrodictium,Pyrodictiaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea,1273541,coccus-shaped,0.8,0.8,0.8,0.8
140648,Salinarchaeum chitinilyticum,Salinarchaeum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1395169,rod-shaped,1.2,2.3,0.2,0.3
141051,Saliphagus infecundisoli,Saliphagus,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,1849069,coccus-shaped,1,1.3,1,1.3
133646,Thermococcus prieurii,Thermococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea,1128108,coccus-shaped,1.15,1.15,1.15,1.15
